Threshold,Recall,Precision,F1-Score,Accuracy,False Negatives,False Positives,True Positives,True Negatives
0.2,1.0,0.5569620253164557,0.7154471544715447,0.5625,0,35,44,1
0.21000000000000002,1.0,0.5569620253164557,0.7154471544715447,0.5625,0,35,44,1
0.22000000000000003,1.0,0.5641025641025641,0.7213114754098361,0.575,0,34,44,2
0.23000000000000004,1.0,0.5641025641025641,0.7213114754098361,0.575,0,34,44,2
0.24000000000000005,1.0,0.5641025641025641,0.7213114754098361,0.575,0,34,44,2
0.25000000000000006,1.0,0.5641025641025641,0.7213114754098361,0.575,0,34,44,2
0.26000000000000006,0.9772727272727273,0.5584415584415584,0.7107438016528926,0.5625,1,34,43,2
0.2700000000000001,0.9772727272727273,0.5657894736842105,0.7166666666666667,0.575,1,33,43,3
0.2800000000000001,0.9772727272727273,0.5657894736842105,0.7166666666666667,0.575,1,33,43,3
0.2900000000000001,0.9772727272727273,0.5657894736842105,0.7166666666666667,0.575,1,33,43,3
0.3000000000000001,0.9772727272727273,0.5657894736842105,0.7166666666666667,0.575,1,33,43,3
0.3100000000000001,0.9545454545454546,0.56,0.7058823529411766,0.5625,2,33,42,3
0.3200000000000001,0.9545454545454546,0.5675675675675675,0.711864406779661,0.575,2,32,42,4
0.3300000000000001,0.9318181818181818,0.5616438356164384,0.7008547008547009,0.5625,3,32,41,4
0.34000000000000014,0.9090909090909091,0.5714285714285714,0.7017543859649122,0.575,4,30,40,6
0.35000000000000014,0.9090909090909091,0.5970149253731343,0.7207207207207207,0.6125,4,27,40,9
0.36000000000000015,0.9090909090909091,0.6060606060606061,0.7272727272727273,0.625,4,26,40,10
0.37000000000000016,0.9090909090909091,0.625,0.7407407407407406,0.65,4,24,40,12
0.38000000000000017,0.9090909090909091,0.625,0.7407407407407406,0.65,4,24,40,12
0.3900000000000002,0.8863636363636364,0.6290322580645161,0.7358490566037735,0.65,5,23,39,13
0.4000000000000002,0.8863636363636364,0.6290322580645161,0.7358490566037735,0.65,5,23,39,13
0.4100000000000002,0.8863636363636364,0.6290322580645161,0.7358490566037735,0.65,5,23,39,13
0.4200000000000002,0.8863636363636364,0.639344262295082,0.742857142857143,0.6625,5,22,39,14
0.4300000000000002,0.8636363636363636,0.6333333333333333,0.7307692307692307,0.65,6,22,38,14
0.4400000000000002,0.8181818181818182,0.631578947368421,0.712871287128713,0.6375,8,21,36,15
0.45000000000000023,0.8181818181818182,0.631578947368421,0.712871287128713,0.6375,8,21,36,15
0.46000000000000024,0.8181818181818182,0.631578947368421,0.712871287128713,0.6375,8,21,36,15
0.47000000000000025,0.75,0.6470588235294118,0.6947368421052633,0.6375,11,18,33,18
0.48000000000000026,0.75,0.66,0.702127659574468,0.65,11,17,33,19
0.49000000000000027,0.75,0.673469387755102,0.7096774193548386,0.6625,11,16,33,20
0.5000000000000002,0.75,0.6875,0.717391304347826,0.675,11,15,33,21
0.5100000000000002,0.75,0.7333333333333333,0.7415730337078651,0.7125,11,12,33,24
0.5200000000000002,0.75,0.7674418604651163,0.7586206896551724,0.7375,11,10,33,26
0.5300000000000002,0.75,0.7674418604651163,0.7586206896551724,0.7375,11,10,33,26
0.5400000000000003,0.75,0.7674418604651163,0.7586206896551724,0.7375,11,10,33,26
0.5500000000000003,0.7045454545454546,0.775,0.7380952380952381,0.725,13,9,31,27
0.5600000000000003,0.7045454545454546,0.775,0.7380952380952381,0.725,13,9,31,27
0.5700000000000003,0.6590909090909091,0.7837837837837838,0.7160493827160493,0.7125,15,8,29,28
0.5800000000000003,0.6136363636363636,0.7941176470588235,0.6923076923076923,0.7,17,7,27,29
0.5900000000000003,0.6136363636363636,0.7941176470588235,0.6923076923076923,0.7,17,7,27,29
0.6000000000000003,0.5909090909090909,0.7878787878787878,0.6753246753246752,0.6875,18,7,26,29
0.6100000000000003,0.5681818181818182,0.78125,0.6578947368421052,0.675,19,7,25,29
0.6200000000000003,0.5454545454545454,0.8,0.6486486486486486,0.675,20,6,24,30
0.6300000000000003,0.5454545454545454,0.8275862068965517,0.6575342465753425,0.6875,20,5,24,31
0.6400000000000003,0.5454545454545454,0.8275862068965517,0.6575342465753425,0.6875,20,5,24,31
